Rank,Type,Model,Average,IFEval,BBH,MATH,GPQA,MUSR,MNLU-Pro,Architecture,Precision,Parameters,License,CO2cost,Hub_likes,Upload date,Submission date,Generation,Base model,Chat Template,Hub Availability,Official Providers,Mixture of Experts,Flag Status
3603,fine-tuned,togethercomputer/GPT-NeoXT-Chat-Base-20B,4.96,0.18,0.33,0.01,0.25,0.35,0.11,,float16,20B,apache-2.0,2.98 kg,696,2023-03-03,2024-06-12,0,togethercomputer/GPT-NeoXT-Chat-Base-20B,No,Yes,Yes,No,No
3613,pretrained,upstage/SOLAR-10.7B-v1.0,4.92,0.17,0.3,0.02,0.26,0.37,0.12,,float16,10.732B,apache-2.0,1.52 kg,298,2023-12-12,2024-06-12,0,upstage/SOLAR-10.7B-v1.0,No,Yes,Yes,No,No
3628,fine-tuned,amd/AMD-Llama-135m,4.76,0.18,0.3,0.01,0.25,0.38,0.12,,float16,0.135B,apache-2.0,0.13 kg,111,2024-07-19,2024-09-29,0,amd/AMD-Llama-135m,No,Yes,Yes,No,No
3631,fine-tuned,togethercomputer/RedPajama-INCITE-Chat-3B-v1,4.75,0.17,0.32,0.0,0.24,0.37,0.11,,float16,3B,apache-2.0,0.77 kg,152,2023-05-05,2024-06-13,0,togethercomputer/RedPajama-INCITE-Chat-3B-v1,No,Yes,Yes,No,No
3635,pretrained,TinyLlama/TinyLlama_v1.1,4.72,0.2,0.3,0.01,0.25,0.37,0.1,,bfloat16,1.1B,apache-2.0,0.25 kg,83,2024-03-09,2024-06-12,0,TinyLlama/TinyLlama_v1.1,No,Yes,Yes,No,No
3637,chat,HuggingFaceTB/SmolLM-360M-Instruct,4.71,0.2,0.29,0.0,0.26,0.35,0.12,,bfloat16,0.362B,apache-2.0,0.37 kg,80,2024-07-15,2024-08-20,1,HuggingFaceTB/SmolLM-360M,Yes,Yes,Yes,No,No
3655,fine-tuned,WizardLMTeam/WizardLM-13B-V1.0,4.55,0.19,0.29,0.0,0.26,0.35,0.12,,bfloat16,13B,-,70.98 kg,73,2023-05-13,2024-06-13,0,WizardLMTeam/WizardLM-13B-V1.0,No,Yes,Yes,No,No
3672,pretrained,EleutherAI/gpt-neo-125m,4.38,0.19,0.31,0.0,0.25,0.36,0.1,,bfloat16,0.15B,mit,0.20 kg,195,2022-03-02,2024-08-10,0,EleutherAI/gpt-neo-125m,No,Yes,Yes,No,No
3681,pretrained,bigscience/bloom-3b,4.26,0.13,0.31,0.0,0.24,0.4,0.11,,bfloat16,3.003B,bigscience-bloom-rail-1.0,1.00 kg,88,2022-05-19,2024-06-13,0,bigscience/bloom-3b,No,Yes,Yes,No,No
3682,fine-tuned,google/mt5-small,4.26,0.17,0.28,0.0,0.24,0.39,0.11,,float16,0.17B,apache-2.0,0.18 kg,129,2022-03-02,2024-09-06,0,google/mt5-small,No,Yes,Yes,No,No
3686,chat,allenai/Llama-3.1-Tulu-3-8B-RM,4.24,0.17,0.3,0.0,0.26,0.38,0.11,,bfloat16,8B,llama3.1,0.74 kg,16,2024-11-20,2024-11-22,1,allenai/Llama-3.1-Tulu-3-8B-RM (Merge),Yes,Yes,Yes,No,No
3699,chat,TinyLlama/TinyLlama-1.1B-Chat-v0.6,4.09,0.16,0.31,0.0,0.26,0.34,0.11,,bfloat16,1.1B,apache-2.0,0.43 kg,94,2023-11-20,2024-10-23,0,TinyLlama/TinyLlama-1.1B-Chat-v0.6,Yes,Yes,Yes,No,No
3701,chat,TinyLlama/TinyLlama-1.1B-Chat-v0.5,4.08,0.16,0.31,0.0,0.25,0.37,0.11,,bfloat16,1.1B,apache-2.0,0.09 kg,8,2023-11-20,2024-10-23,0,TinyLlama/TinyLlama-1.1B-Chat-v0.5,No,Yes,Yes,No,No
3709,pretrained,meta-llama/Llama-3.2-1B,4.03,0.15,0.31,0.0,0.23,0.34,0.12,,bfloat16,1.24B,llama3.2,0.42 kg,1529,2024-09-18,2024-09-23,0,meta-llama/Llama-3.2-1B,No,Yes,Yes,No,No
3711,pretrained,PrimeIntellect/INTELLECT-1,4.02,0.18,0.27,0.0,0.25,0.38,0.11,,float16,10.211B,apache-2.0,1.00 kg,59,2024-11-28,2024-12-03,0,PrimeIntellect/INTELLECT-1,No,Yes,Yes,No,No
3714,pretrained,bigscience/bloom-1b7,3.97,0.1,0.31,0.0,0.26,0.39,0.11,,bfloat16,1.722B,bigscience-bloom-rail-1.0,0.82 kg,121,2022-05-19,2024-06-13,0,bigscience/bloom-1b7,No,Yes,Yes,No,No
3717,fine-tuned,togethercomputer/RedPajama-INCITE-7B-Chat,3.96,0.16,0.32,0.0,0.25,0.34,0.11,,float16,7B,apache-2.0,1.22 kg,92,2023-05-04,2024-06-13,0,togethercomputer/RedPajama-INCITE-7B-Chat,No,Yes,Yes,No,No
3718,pretrained,bigscience/bloom-1b1,3.96,0.14,0.31,0.0,0.26,0.37,0.11,,bfloat16,1.065B,bigscience-bloom-rail-1.0,0.72 kg,62,2022-05-19,2024-06-13,0,bigscience/bloom-1b1,No,Yes,Yes,No,No
3727,fine-tuned,IDEA-CCNL/Ziya-LLaMA-13B-v1,3.91,0.17,0.29,0.0,0.25,0.38,0.11,,float16,13B,gpl-3.0,1.11 kg,274,2023-05-16,2024-06-12,0,IDEA-CCNL/Ziya-LLaMA-13B-v1,No,Yes,Yes,No,No
3729,pretrained,distilbert/distilgpt2,3.9,0.06,0.3,0.0,0.26,0.42,0.12,,bfloat16,0.088B,apache-2.0,0.12 kg,473,2022-03-02,2024-06-12,0,distilbert/distilgpt2,No,Yes,Yes,No,No
3735,fine-tuned,TinyLlama/TinyLlama-1.1B-Chat-v0.1,3.86,0.15,0.31,0.0,0.23,0.36,0.11,,float16,1.1B,apache-2.0,0.09 kg,54,2023-09-16,2024-12-02,0,TinyLlama/TinyLlama-1.1B-Chat-v0.1,No,Yes,Yes,No,No
3744,pretrained,PrimeIntellect/INTELLECT-1,3.81,0.18,0.28,0.0,0.25,0.33,0.11,,bfloat16,10.211B,apache-2.0,1.00 kg,59,2024-11-28,2024-11-29,0,PrimeIntellect/INTELLECT-1,No,Yes,Yes,No,No
3753,pretrained,bigscience/bloom-7b1,3.71,0.13,0.31,0.0,0.26,0.35,0.11,,float16,7.069B,bigscience-bloom-rail-1.0,1.01 kg,203,2022-05-19,2024-06-13,0,bigscience/bloom-7b1,No,Yes,Yes,No,No
3754,fine-tuned,OpenAssistant/oasst-sft-1-pythia-12b,3.67,0.11,0.31,0.01,0.26,0.33,0.11,,float16,12B,apache-2.0,0.89 kg,278,2023-03-09,2024-06-12,0,OpenAssistant/oasst-sft-1-pythia-12b,No,Yes,Yes,No,No
3767,fine-tuned,google/mt5-base,3.57,0.16,0.29,0.0,0.24,0.37,0.11,,float16,0.39B,apache-2.0,0.20 kg,215,2022-03-02,2024-09-06,0,google/mt5-base,No,Yes,Yes,No,No
3769,chat,HuggingFaceTB/SmolLM-135M-Instruct,3.56,0.12,0.3,0.0,0.26,0.36,0.12,,bfloat16,0.135B,apache-2.0,0.47 kg,104,2024-07-15,2024-10-12,1,HuggingFaceTB/SmolLM-135M,Yes,Yes,Yes,No,No
3777,pretrained,bigscience/bloom-560m,3.46,0.06,0.3,0.0,0.26,0.4,0.12,,bfloat16,0.559B,bigscience-bloom-rail-1.0,0.76 kg,351,2022-05-19,2024-06-13,0,bigscience/bloom-560m,No,Yes,Yes,No,No
3779,fine-tuned,google/umt5-base,3.44,0.17,0.28,0.0,0.25,0.34,0.11,,float16,-1B,apache-2.0,0.67 kg,13,2023-07-02,2024-09-06,0,google/umt5-base,No,Yes,Yes,No,No
3781,fine-tuned,nvidia/AceMath-72B-RM,3.43,0.14,0.27,0.0,0.23,0.34,0.12,,bfloat16,71.461B,cc-by-nc-4.0,75.00 kg,6,2025-01-14,2025-01-24,0,nvidia/AceMath-72B-RM,Yes,Yes,Yes,No,No
3794,fine-tuned,google/switch-base-8,3.3,0.16,0.29,0.0,0.25,0.35,0.11,,float16,0.62B,apache-2.0,0.15 kg,16,2022-10-24,2024-09-06,0,google/switch-base-8,No,Yes,Yes,No,No
3797,fine-tuned,nvidia/AceMath-7B-RM,3.22,0.15,0.24,0.0,0.25,0.36,0.11,,bfloat16,7.071B,cc-by-nc-4.0,0.68 kg,5,2025-01-14,2025-01-24,0,nvidia/AceMath-7B-RM,Yes,Yes,Yes,No,No
3802,fine-tuned,HuggingFaceTB/SmolLM2-360M-Instruct,3.1,0.08,0.31,0.01,0.27,0.34,0.11,,float16,0.362B,apache-2.0,0.39 kg,81,2024-10-31,2024-11-14,0,HuggingFaceTB/SmolLM2-360M-Instruct,No,Yes,Yes,No,No
3805,fine-tuned,HuggingFaceTB/SmolLM2-135M-Instruct,2.99,0.06,0.31,0.0,0.23,0.39,0.11,,float16,0.135B,apache-2.0,0.35 kg,99,2024-10-31,2024-11-14,1,HuggingFaceTB/SmolLM2-135M-Instruct (Merge),No,Yes,Yes,No,No
3808,fine-tuned,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2.72,0.06,0.31,0.01,0.25,0.35,0.11,,float16,1.1B,apache-2.0,0.27 kg,1136,2023-12-30,2024-08-04,0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,No,Yes,Yes,No,No
3817,chat,PrimeIntellect/INTELLECT-1-Instruct,1.03,0.0,0.29,0.0,0.25,0.36,0.11,,bfloat16,10.211B,apache-2.0,1.89 kg,118,2024-11-28,2024-11-29,1,PrimeIntellect/INTELLECT-1-Instruct (Merge),Yes,Yes,Yes,No,No
